t,y1,y2
0.00000,0.0,0.0
0.00025,0.0,3.2
0.00050,0.1,4.5
0.00075,0.2,5.5
0.00100,0.3,6.3
0.00125,0.4,7.1
0.00150,0.6,7.7
0.00175,0.7,8.3
0.00200,0.9,8.9
0.00225,1.1,9.4
0.00250,1.2,9.9
0.00275,1.4,10.4
0.00300,1.6,10.8
0.00325,1.8,11.3
0.00350,2.1,11.7
0.00375,2.3,12.0
0.00400,2.5,12.4
0.00425,2.7,12.7
0.00450,3.0,13.1
0.00475,3.2,13.4
0.00500,3.5,13.7
0.00525,3.8,14.0
0.00550,4.0,14.3
0.00575,4.3,14.5
0.00600,4.6,14.8
0.00625,4.9,15.0
0.00650,5.1,15.3
0.00675,5.4,15.5
0.00700,5.7,15.7
0.00725,6.0,15.9
0.00750,6.3,16.1
0.00775,6.7,16.3
0.00800,7.0,16.5
0.00825,7.3,16.6
0.00850,7.6,16.8
0.00875,7.9,16.9
0.00900,8.3,17.1
0.00925,8.6,17.2
0.00950,8.9,17.3
0.00975,9.3,17.4
0.01000,9.6,17.6
0.01025,9.9,17.6
0.01050,10.3,17.7
0.01075,10.6,17.8
0.01100,11.0,17.9
0.01125,11.3,17.9
0.01150,11.7,18.0
0.01175,12.0,18.0
0.01200,12.4,18.1
0.01225,12.7,18.1
0.01250,13.1,18.1
0.01275,13.4,18.1
0.01300,13.8,18.2
0.01325,14.2,18.2
0.01350,14.5,18.1
0.01375,14.9,18.1
0.01400,15.2,18.1
0.01425,15.6,18.1
0.01450,16.0,18.0
0.01475,16.3,18.0
0.01500,16.7,17.9
0.01525,17.1,17.9
0.01550,17.4,17.8
0.01575,17.8,17.7
0.01600,18.1,17.6
0.01625,18.5,17.5
0.01650,18.9,17.4
0.01675,19.2,17.3
0.01700,19.6,17.2
0.01725,19.9,17.1
0.01750,20.3,17.0
0.01775,20.7,16.8
0.01800,21.0,16.7
0.01825,21.4,16.5
0.01850,21.7,16.4
0.01875,22.1,16.2
0.01900,22.4,16.0
0.01925,22.8,15.9
0.01950,23.1,15.7
0.01975,23.5,15.5
0.02000,23.8,15.3
0.02025,24.1,15.1
0.02050,24.5,14.9
0.02075,24.8,14.6
0.02100,25.1,14.4
0.02125,25.5,14.2
0.02150,25.8,14.0
0.02175,26.1,13.7
0.02200,26.4,13.5
0.02225,26.8,13.2
0.02250,27.1,12.9
0.02275,27.4,12.7
0.02300,27.7,12.4
0.02325,28.0,12.1
0.02350,28.3,11.8
0.02375,28.6,11.5
0.02400,28.9,11.2
0.02425,29.2,10.9
0.02450,29.5,10.6
0.02475,29.7,10.3
0.02500,30.0,10.0
0.02525,30.3,9.6
0.02550,30.6,9.3
0.02575,30.8,9.0
0.02600,31.1,8.6
0.02625,31.3,8.3
0.02650,31.6,7.9
0.02675,31.8,7.6
0.02700,32.1,7.2
0.02725,32.3,6.8
0.02750,32.5,6.5
0.02775,32.8,6.1
0.02800,33.0,5.7
0.02825,33.2,5.3
0.02850,33.4,4.9
0.02875,33.6,4.5
0.02900,33.8,4.1
0.02925,34.0,3.7
0.02950,34.2,3.3
0.02975,34.4,2.9
0.03000,34.6,2.5
0.03025,34.7,2.0
0.03050,34.9,1.6
0.03075,35.1,1.2
0.03100,35.2,0.7
0.03125,35.4,0.3
0.03150,35.5,-0.1
0.03175,35.6,-0.6
0.03200,35.8,-1.0
0.03225,35.9,-1.5
0.03250,36.0,-2.0
0.03275,36.1,-2.4
0.03300,36.2,-2.9
0.03325,36.3,-3.3
0.03350,36.4,-3.8
0.03375,36.5,-4.3
0.03400,36.6,-4.8
0.03425,36.6,-5.2
0.03450,36.7,-5.7
0.03475,36.8,-6.2
0.03500,36.8,-6.7
0.03525,36.9,-7.2
0.03550,36.9,-7.6
0.03575,36.9,-8.1
0.03600,37.0,-8.6
0.03625,37.0,-9.1
0.03650,37.0,-9.6
0.03675,37.0,-10.1
0.03700,37.0,-10.6
0.03725,37.0,-11.1
0.03750,37.0,-11.6
0.03775,36.9,-12.1
0.03800,36.9,-12.6
0.03825,36.9,-13.1
0.03850,36.8,-13.6
0.03875,36.8,-14.1
0.03900,36.7,-14.6
0.03925,36.6,-15.1
0.03950,36.5,-15.6
0.03975,36.5,-16.1
0.04000,36.4,-16.6
0.04025,36.3,-17.2
0.04050,36.2,-17.7
0.04075,36.1,-18.2
0.04100,35.9,-18.7
0.04125,35.8,-19.2
0.04150,35.7,-19.7
0.04175,35.5,-20.2
0.04200,35.4,-20.7
0.04225,35.2,-21.2
0.04250,35.1,-21.7
0.04275,34.9,-22.2
0.04300,34.7,-22.7
0.04325,34.5,-23.2
0.04350,34.3,-23.7
0.04375,34.1,-24.2
0.04400,33.9,-24.7
0.04425,33.7,-25.2
0.04450,33.5,-25.7
0.04475,33.2,-26.2
0.04500,33.0,-26.7
0.04525,32.8,-27.1
0.04550,32.5,-27.6
0.04575,32.3,-28.1
0.04600,32.0,-28.6
0.04625,31.7,-29.1
0.04650,31.4,-29.5
0.04675,31.1,-30.0
0.04700,30.8,-30.5
0.04725,30.5,-30.9
0.04750,30.2,-31.4
0.04775,29.9,-31.9
0.04800,29.6,-32.3
0.04825,29.3,-32.8
0.04850,28.9,-33.2
0.04875,28.6,-33.7
0.04900,28.2,-34.1
0.04925,27.9,-34.5
0.04950,27.5,-35.0
0.04975,27.1,-35.4
0.05000,26.8,-35.8
0.05025,26.4,-36.3
0.05050,26.0,-36.7
0.05075,25.6,-37.1
0.05100,25.2,-37.5
0.05125,24.8,-37.9
0.05150,24.4,-38.3
0.05175,23.9,-38.7
0.05200,23.5,-39.1
0.05225,23.1,-39.5
0.05250,22.6,-39.8
0.05275,22.2,-40.2
0.05300,21.7,-40.6
0.05325,21.3,-41.0
0.05350,20.8,-41.3
0.05375,20.3,-41.7
0.05400,19.9,-42.0
0.05425,19.4,-42.4
0.05450,18.9,-42.7
0.05475,18.4,-43.0
0.05500,17.9,-43.4
0.05525,17.4,-43.7
0.05550,16.9,-44.0
0.05575,16.4,-44.3
0.05600,15.9,-44.6
0.05625,15.3,-44.9
0.05650,14.8,-45.2
0.05675,14.3,-45.5
0.05700,13.7,-45.7
0.05725,13.2,-46.0
0.05750,12.6,-46.3
0.05775,12.1,-46.5
0.05800,11.5,-46.8
0.05825,11.0,-47.0
0.05850,10.4,-47.2
0.05875,9.8,-47.5
0.05900,9.3,-47.7
0.05925,8.7,-47.9
0.05950,8.1,-48.1
0.05975,7.5,-48.3
0.06000,6.9,-48.5
0.06025,6.3,-48.7
0.06050,5.7,-48.9
0.06075,5.1,-49.0
0.06100,4.5,-49.2
0.06125,3.9,-49.3
0.06150,3.3,-49.5
0.06175,2.7,-49.6
0.06200,2.1,-49.8
0.06225,1.5,-49.9
0.06250,0.8,-50.0
0.06275,0.2,-50.1
0.06300,-0.4,-50.2
0.06325,-1.1,-50.3
0.06350,-1.7,-50.4
0.06375,-2.3,-50.4
0.06400,-3.0,-50.5
0.06425,-3.6,-50.6
0.06450,-4.2,-50.6
0.06475,-4.9,-50.7
0.06500,-5.5,-50.7
0.06525,-6.2,-50.7
0.06550,-6.8,-50.7
0.06575,-7.5,-50.7
0.06600,-8.1,-50.7
0.06625,-8.8,-50.7
0.06650,-9.4,-50.7
0.06675,-10.1,-50.7
0.06700,-10.7,-50.6
0.06725,-11.4,-50.6
0.06750,-12.0,-50.6
0.06775,-12.7,-50.5
0.06800,-13.3,-50.4
0.06825,-14.0,-50.3
0.06850,-14.6,-50.3
0.06875,-15.3,-50.2
0.06900,-15.9,-50.1
0.06925,-16.6,-49.9
0.06950,-17.3,-49.8
0.06975,-17.9,-49.7
0.07000,-18.6,-49.6
0.07025,-19.2,-49.4
0.07050,-19.9,-49.2
0.07075,-20.5,-49.1
0.07100,-21.2,-48.9
0.07125,-21.8,-48.7
0.07150,-22.5,-48.5
0.07175,-23.1,-48.3
