t,y1,y2
0.00000,0.0,0.0
0.00025,10.7,14.3
0.00050,16.0,20.0
0.00075,20.5,24.3
0.00100,24.6,27.7
0.00125,28.5,30.4
0.00150,32.1,32.5
0.00175,35.6,34.2
0.00200,38.8,35.4
0.00225,41.8,36.2
0.00250,44.6,36.6
0.00275,47.2,36.5
0.00300,49.5,36.1
0.00325,51.5,35.3
0.00350,53.2,34.1
0.00375,54.7,32.5
0.00400,55.8,30.6
0.00425,56.6,28.4
0.00450,57.0,25.8
0.00475,57.2,22.9
0.00500,56.9,19.7
0.00525,56.4,16.3
0.00550,55.4,12.6
0.00575,54.1,8.6
0.00600,52.5,4.4
0.00625,50.5,-0.0
0.00650,48.2,-4.6
0.00675,45.5,-9.3
0.00700,42.5,-14.2
0.00725,39.2,-19.1
0.00750,35.5,-24.2
0.00775,31.6,-29.3
0.00800,27.4,-34.4
0.00825,22.9,-39.5
0.00850,18.2,-44.6
0.00875,13.2,-49.7
0.00900,8.1,-54.6
0.00925,2.7,-59.5
0.00950,-2.8,-64.2
0.00975,-8.4,-68.8
0.01000,-14.1,-73.1
0.01025,-20.0,-77.2
0.01050,-25.8,-81.1
0.01075,-31.7,-84.8
0.01100,-37.6,-88.1
0.01125,-43.5,-91.2
0.01150,-49.3,-93.9
0.01175,-55.1,-96.2
0.01200,-60.7,-98.2
0.01225,-66.1,-99.8
0.01250,-71.4,-101.0
0.01275,-76.5,-101.8
0.01300,-81.4,-102.2
0.01325,-86.0,-102.2
0.01350,-90.4,-101.7
0.01375,-94.4,-100.8
0.01400,-98.1,-99.4
0.01425,-101.5,-97.6
0.01450,-104.5,-95.4
0.01475,-107.1,-92.7
0.01500,-109.3,-89.5
0.01525,-111.1,-86.0
0.01550,-112.5,-82.0
0.01575,-113.4,-77.6
0.01600,-113.8,-72.9
0.01625,-113.8,-67.7
0.01650,-113.3,-62.2
0.01675,-112.3,-56.3
0.01700,-110.9,-50.2
0.01725,-108.9,-43.7
0.01750,-106.5,-36.9
0.01775,-103.6,-29.9
0.01800,-100.3,-22.7
0.01825,-96.5,-15.3
0.01850,-92.2,-7.7
0.01875,-87.5,0.0
0.01900,-82.4,7.8
0.01925,-76.8,15.7
0.01950,-70.9,23.6
0.01975,-64.6,31.6
0.02000,-58.0,39.5
0.02025,-51.1,47.3
0.02050,-43.8,55.1
0.02075,-36.3,62.7
0.02100,-28.6,70.2
0.02125,-20.6,77.4
0.02150,-12.5,84.5
0.02175,-4.2,91.2
0.02200,4.2,97.7
0.02225,12.7,103.9
0.02250,21.2,109.7
0.02275,29.7,115.1
0.02300,38.2,120.1
0.02325,46.7,124.7
0.02350,55.0,128.8
0.02375,63.2,132.5
0.02400,71.3,135.6
0.02425,79.1,138.2
0.02450,86.7,140.3
0.02475,94.0,141.9
0.02500,101.0,142.9
0.02525,107.7,143.3
0.02550,114.0,143.2
0.02575,119.9,142.4
0.02600,125.4,141.1
0.02625,130.5,139.2
0.02650,135.0,136.8
0.02675,139.1,133.7
0.02700,142.6,130.1
0.02725,145.6,126.0
0.02750,148.0,121.2
0.02775,149.9,116.0
0.02800,151.1,110.2
0.02825,151.8,104.0
0.02850,151.9,97.2
0.02875,151.3,90.1
0.02900,150.2,82.5
0.02925,148.4,74.5
0.02950,146.0,66.1
0.02975,143.1,57.4
0.03000,139.5,48.4
0.03025,135.3,39.1
0.03050,130.5,29.6
0.03075,125.2,19.9
0.03100,119.4,10.0
0.03125,113.0,-0.0
0.03150,106.1,-10.1
0.03175,98.7,-20.2
0.03200,90.9,-30.3
0.03225,82.6,-40.4
0.03250,74.0,-50.3
0.03275,65.0,-60.2
0.03300,55.6,-69.9
0.03325,46.0,-79.4
0.03350,36.1,-88.6
0.03375,26.0,-97.6
0.03400,15.7,-106.2
0.03425,5.3,-114.5
0.03450,-5.3,-122.4
0.03475,-15.9,-129.8
0.03500,-26.4,-136.8
0.03525,-37.0,-143.3
0.03550,-47.5,-149.2
0.03575,-57.9,-154.6
0.03600,-68.1,-159.4
0.03625,-78.1,-163.6
0.03650,-87.9,-167.2
0.03675,-97.4,-170.2
0.03700,-106.5,-172.5
0.03725,-115.3,-174.1
0.03750,-123.7,-175.0
0.03775,-131.7,-175.2
0.03800,-139.2,-174.8
0.03825,-146.2,-173.6
0.03850,-152.6,-171.7
0.03875,-158.5,-169.2
0.03900,-163.8,-165.9
0.03925,-168.5,-162.0
0.03950,-172.5,-157.4
0.03975,-175.8,-152.1
0.04000,-178.5,-146.2
0.04025,-180.5,-139.7
0.04050,-181.8,-132.6
0.04075,-182.3,-124.9
0.04100,-182.2,-116.6
0.04125,-181.3,-107.9
0.04150,-179.7,-98.6
0.04175,-177.3,-89.0
0.04200,-174.3,-78.9
0.04225,-170.5,-68.4
0.04250,-166.0,-57.6
0.04275,-160.8,-46.5
0.04300,-155.0,-35.1
0.04325,-148.5,-23.6
0.04350,-141.4,-11.8
0.04375,-133.7,0.0
0.04400,-125.4,11.9
0.04425,-116.5,23.8
0.04450,-107.2,35.7
0.04475,-97.3,47.5
0.04500,-87.0,59.2
0.04525,-76.3,70.8
0.04550,-65.3,82.1
0.04575,-53.9,93.1
0.04600,-42.3,103.9
0.04625,-30.4,114.2
0.04650,-18.3,124.2
0.04675,-6.1,133.8
0.04700,6.2,142.8
0.04725,18.5,151.4
0.04750,30.8,159.3
0.04775,43.1,166.7
0.04800,55.2,173.5
0.04825,67.2,179.6
0.04850,79.0,185.0
0.04875,90.6,189.8
0.04900,101.8,193.8
0.04925,112.7,197.0
0.04950,123.2,199.5
0.04975,133.3,201.2
0.05000,142.9,202.1
0.05025,152.0,202.2
0.05050,160.5,201.5
0.05075,168.4,200.0
0.05100,175.7,197.7
0.05125,182.3,194.6
0.05150,188.2,190.7
0.05175,193.4,186.0
0.05200,197.9,180.6
0.05225,201.6,174.4
0.05250,204.5,167.5
0.05275,206.6,159.9
0.05300,207.9,151.7
0.05325,208.4,142.8
0.05350,208.1,133.2
0.05375,206.9,123.1
0.05400,204.9,112.5
0.05425,202.1,101.4
0.05450,198.5,89.8
0.05475,194.1,77.8
0.05500,188.8,65.5
0.05525,182.8,52.8
0.05550,176.1,39.9
0.05575,168.6,26.7
0.05600,160.4,13.4
0.05625,151.6,-0.0
0.05650,142.1,-13.5
0.05675,131.9,-27.0
0.05700,121.3,-40.4
0.05725,110.1,-53.8
0.05750,98.4,-67.0
0.05775,86.2,-79.9
0.05800,73.7,-92.7
0.05825,60.9,-105.1
0.05850,47.7,-117.1
0.05875,34.3,-128.7
0.05900,20.7,-139.9
0.05925,6.9,-150.6
0.05950,-6.9,-160.7
0.05975,-20.8,-170.2
0.06000,-34.6,-179.1
0.06025,-48.4,-187.3
0.06050,-62.0,-194.8
0.06075,-75.5,-201.5
0.06100,-88.6,-207.5
0.06125,-101.5,-212.7
0.06150,-114.1,-217.1
0.06175,-126.2,-220.6
0.06200,-137.9,-223.2
0.06225,-149.1,-225.0
0.06250,-159.8,-225.9
0.06275,-169.8,-225.9
0.06300,-179.2,-225.0
0.06325,-188.0,-223.2
0.06350,-196.0,-220.6
0.06375,-203.3,-217.0
0.06400,-209.8,-212.6
0.06425,-215.5,-207.3
0.06450,-220.4,-201.1
0.06475,-224.4,-194.2
0.06500,-227.6,-186.4
0.06525,-229.8,-177.9
0.06550,-231.2,-168.6
0.06575,-231.6,-158.6
0.06600,-231.1,-148.0
0.06625,-229.7,-136.7
0.06650,-227.4,-124.9
0.06675,-224.2,-112.5
0.06700,-220.1,-99.6
0.06725,-215.1,-86.3
0.06750,-209.2,-72.6
0.06775,-202.5,-58.5
0.06800,-194.9,-44.2
0.06825,-186.5,-29.6
0.06850,-177.4,-14.9
0.06875,-167.5,0.0
0.06900,-157.0,14.9
0.06925,-145.8,29.8
0.06950,-133.9,44.6
0.06975,-121.5,59.4
0.07000,-108.5,73.9
0.07025,-95.1,88.2
0.07050,-81.3,102.2
0.07075,-67.1,115.8
0.07100,-52.5,129.0
0.07125,-37.7,141.8
0.07150,-22.7,154.0
0.07175,-7.6,165.7
0.07200,7.6,176.8
0.07225,22.9,187.2
0.07250,38.1,196.9
0.07275,53.2,205.8
0.07300,68.1,214.0
0.07325,82.8,221.3
0.07350,97.3,227.8
0.07375,111.4,233.4
0.07400,125.1,238.1
0.07425,138.4,241.9
0.07450,151.2,244.7
0.07475,163.4,246.6
0.07500,175.0,247.5
0.07525,186.0,247.4
0.07550,196.2,246.4
0.07575,205.7,244.3
0.07600,214.4,241.3
0.07625,222.3,237.3
0.07650,229.4,232.4
0.07675,235.6,226.5
0.07700,240.8,219.7
0.07725,245.1,212.1
0.07750,248.5,203.5
0.07775,250.9,194.2
0.07800,252.3,184.0
0.07825,252.7,173.0
0.07850,252.1,161.4
0.07875,250.5,149.1
0.07900,247.9,136.1
0.07925,244.3,122.6
0.07950,239.7,108.5
0.07975,234.2,93.9
0.08000,227.7,79.0
0.08025,220.4,63.7
0.08050,212.1,48.0
0.08075,202.9,32.2
0.08100,192.9,16.1
0.08125,182.1,-0.0
0.08150,170.6,-16.2
0.08175,158.4,-32.4
0.08200,145.5,-48.5
0.08225,131.9,-64.5
0.08250,117.8,-80.2
0.08275,103.2,-95.7
0.08300,88.2,-110.9
0.08325,72.7,-125.6
0.08350,57.0,-139.9
0.08375,40.9,-153.7
0.08400,24.6,-167.0
0.08425,8.2,-179.6
0.08450,-8.3,-191.5
0.08475,-24.8,-202.7
0.08500,-41.2,-213.2
0.08525,-57.6,-222.8
0.08550,-73.7,-231.6
0.08575,-89.6,-239.4
0.08600,-105.3,-246.4
0.08625,-120.5,-252.4
0.08650,-135.3,-257.4
0.08675,-149.6,-261.5
0.08700,-163.4,-264.5
0.08725,-176.5,-266.4
0.08750,-189.0,-267.3
0.08775,-200.8,-267.2
0.08800,-211.8,-266.0
0.08825,-222.0,-263.7
0.08850,-231.4,-260.4
0.08875,-239.9,-256.0
0.08900,-247.4,-250.7
0.08925,-254.0,-244.3
0.08950,-259.6,-236.9
0.08975,-264.2,-228.6
0.09000,-267.8,-219.3
0.09025,-270.3,-209.2
0.09050,-271.7,-198.2
0.09075,-272.1,-186.4
0.09100,-271.4,-173.8
0.09125,-269.6,-160.5
0.09150,-266.8,-146.5
0.09175,-262.9,-131.9
0.09200,-257.9,-116.7
0.09225,-251.9,-101.0
0.09250,-244.9,-84.9
0.09275,-236.9,-68.4
0.09300,-227.9,-51.6
0.09325,-218.1,-34.6
0.09350,-207.3,-17.4
0.09375,-195.7,0.0
0.09400,-183.2,17.4
0.09425,-170.0,34.8
0.09450,-156.1,52.1
0.09475,-141.6,69.2
0.09500,-126.5,86.1
0.09525,-110.8,102.7
0.09550,-94.6,118.9
0.09575,-78.0,134.7
0.09600,-61.1,150.0
0.09625,-43.9,164.8
0.09650,-26.4,178.9
0.09675,-8.8,192.4
0.09700,8.8,205.2
0.09725,26.5,217.1
0.09750,44.1,228.3
0.09775,61.6,238.6
0.09800,78.9,247.9
0.09825,96.0,256.3
0.09850,112.6,263.7
0.09875,128.9,270.1
0.09900,144.7,275.4
0.09925,160.0,279.7
0.09950,174.7,282.8
0.09975,188.7,284.9
0.10000,202.1,285.8
0.10025,214.6,285.6
0.10050,226.4,284.2
0.10075,237.2,281.8
0.10100,247.2,278.2
0.10125,256.2,273.5
0.10150,264.2,267.7
0.10175,271.2,260.8
0.10200,277.2,252.9
0.10225,282.0,244.0
0.10250,285.8,234.1
0.10275,288.4,223.2
0.10300,289.9,211.4
0.10325,290.2,198.8
0.10350,289.4,185.3
0.10375,287.5,171.1
0.10400,284.4,156.2
0.10425,280.2,140.6
0.10450,274.9,124.4
0.10475,268.4,107.7
0.10500,260.9,90.5
0.10525,252.4,72.9
0.10550,242.8,55.0
0.10575,232.2,36.8
0.10600,220.7,18.5
0.10625,208.3,-0.0
0.10650,195.0,-18.5
0.10675,181.0,-37.0
0.10700,166.2,-55.4
0.10725,150.7,-73.6
0.10750,134.5,-91.6
0.10775,117.8,-109.2
0.10800,100.6,-126.4
0.10825,83.0,-143.2
0.10850,64.9,-159.5
0.10875,46.6,-175.2
0.10900,28.1,-190.2
0.10925,9.4,-204.5
0.10950,-9.4,-218.0
0.10975,-28.2,-230.7
0.11000,-46.9,-242.5
0.11025,-65.5,-253.4
0.11050,-83.8,-263.2
0.11075,-101.9,-272.1
0.11100,-119.6,-279.9
0.11125,-136.8,-286.7
0.11150,-153.6,-292.3
0.11175,-169.8,-296.7
0.11200,-185.4,-300.0
0.11225,-200.2,-302.2
0.11250,-214.3,-303.1
0.11275,-227.6,-302.8
0.11300,-240.0,-301.4
0.11325,-251.5,-298.7
0.11350,-262.1,-294.9
0.11375,-271.6,-289.9
0.11400,-280.0,-283.7
0.11425,-287.4,-276.4
0.11450,-293.6,-268.0
0.11475,-298.8,-258.5
0.11500,-302.7,-247.9
0.11525,-305.4,-236.4
0.11550,-307.0,-223.9
0.11575,-307.3,-210.5
0.11600,-306.4,-196.2
0.11625,-304.3,-181.1
0.11650,-301.0,-165.3
0.11675,-296.5,-148.8
0.11700,-290.8,-131.6
0.11725,-284.0,-113.9
0.11750,-276.0,-95.7
0.11775,-266.9,-77.1
0.11800,-256.8,-58.2
0.11825,-245.5,-38.9
0.11850,-233.3,-19.5
0.11875,-220.2,0.0
0.11900,-206.2,19.6
0.11925,-191.3,39.1
0.11950,-175.6,58.5
0.11975,-159.2,77.8
0.12000,-142.1,96.7
0.12025,-124.5,115.4
0.12050,-106.3,133.6
0.12075,-87.6,151.3
0.12100,-68.6,168.4
0.12125,-49.2,185.0
0.12150,-29.6,200.8
0.12175,-9.9,215.9
0.12200,9.9,230.1
0.12225,29.7,243.5
0.12250,49.5,255.9
0.12275,69.1,267.3
0.12300,88.4,277.7
0.12325,107.5,287.1
0.12350,126.1,295.3
0.12375,144.3,302.3
0.12400,162.0,308.2
0.12425,179.0,312.9
0.12450,195.4,316.4
0.12475,211.1,318.6
0.12500,225.9,319.5
0.12525,239.9,319.2
0.12550,253.0,317.6
0.12575,265.0,314.8
0.12600,276.1,310.7
0.12625,286.1,305.4
0.12650,295.0,298.8
0.12675,302.7,291.1
0.12700,309.3,282.2
0.12725,314.6,272.2
0.12750,318.7,261.1
0.12775,321.6,248.9
0.12800,323.2,235.7
0.12825,323.5,221.5
0.12850,322.5,206.5
0.12875,320.3,190.6
0.12900,316.8,173.9
0.12925,312.0,156.5
0.12950,306.0,138.5
0.12975,298.7,119.8
0.13000,290.3,100.7
0.13025,280.7,81.1
0.13050,270.0,61.2
0.13075,258.2,41.0
0.13100,245.3,20.5
0.13125,231.5,-0.0
0.13150,216.7,-20.6
0.13175,201.0,-41.1
0.13200,184.5,-61.5
0.13225,167.3,-81.7
0.13250,149.3,-101.7
0.13275,130.8,-121.2
0.13300,111.6,-140.3
