t,y1,y2
0.00000,0.0,0.0
0.00025,0.3,14.3
0.00050,0.6,20.0
0.00075,0.9,24.3
0.00100,1.2,27.7
0.00125,1.5,30.4
0.00150,1.8,32.5
0.00175,2.0,34.2
0.00200,2.3,35.4
0.00225,2.6,36.2
0.00250,2.9,36.6
0.00275,3.2,36.5
0.00300,3.5,36.1
0.00325,3.8,35.3
0.00350,4.1,34.1
0.00375,4.4,32.5
0.00400,4.7,30.6
0.00425,5.0,28.4
0.00450,5.3,25.8
0.00475,5.5,22.9
0.00500,5.8,19.7
0.00525,6.1,16.3
0.00550,6.4,12.6
0.00575,6.7,8.6
0.00600,7.0,4.4
0.00625,7.3,-0.0
0.00650,7.6,-4.6
0.00675,7.9,-9.3
0.00700,8.2,-14.2
0.00725,8.5,-19.1
0.00750,8.8,-24.2
0.00775,9.0,-29.3
0.00800,9.3,-34.4
0.00825,9.6,-39.5
0.00850,9.9,-44.6
0.00875,10.2,-49.7
0.00900,10.5,-54.6
0.00925,10.8,-59.5
0.00950,11.1,-64.2
0.00975,11.4,-68.8
0.01000,11.7,-73.1
0.01025,12.0,-77.2
0.01050,12.3,-81.1
0.01075,12.5,-84.8
0.01100,12.8,-88.1
0.01125,13.1,-91.2
0.01150,13.4,-93.9
0.01175,13.7,-96.2
0.01200,14.0,-98.2
0.01225,14.3,-99.8
0.01250,14.6,-101.0
0.01275,14.9,-101.8
0.01300,15.2,-102.2
0.01325,15.5,-102.2
0.01350,15.8,-101.7
0.01375,16.0,-100.8
0.01400,16.3,-99.4
0.01425,16.6,-97.6
0.01450,16.9,-95.4
0.01475,17.2,-92.7
0.01500,17.5,-89.5
0.01525,17.8,-86.0
0.01550,18.1,-82.0
0.01575,18.4,-77.6
0.01600,18.7,-72.9
0.01625,19.0,-67.7
0.01650,19.3,-62.2
0.01675,19.5,-56.3
0.01700,19.8,-50.2
0.01725,20.1,-43.7
0.01750,20.4,-36.9
0.01775,20.7,-29.9
0.01800,21.0,-22.7
0.01825,21.3,-15.3
0.01850,21.6,-7.7
0.01875,21.9,0.0
0.01900,22.2,7.8
0.01925,22.5,15.7
0.01950,22.8,23.6
0.01975,23.0,31.6
0.02000,23.3,39.5
0.02025,23.6,47.3
0.02050,23.9,55.1
0.02075,24.2,62.7
0.02100,24.5,70.2
0.02125,24.8,77.4
0.02150,25.1,84.5
0.02175,25.4,91.2
0.02200,25.7,97.7
0.02225,26.0,103.9
0.02250,26.3,109.7
0.02275,26.5,115.1
0.02300,26.8,120.1
0.02325,27.1,124.7
0.02350,27.4,128.8
0.02375,27.7,132.5
0.02400,28.0,135.6
0.02425,28.3,138.2
0.02450,28.6,140.3
0.02475,28.9,141.9
0.02500,29.2,142.9
0.02525,29.5,143.3
0.02550,29.8,143.2
0.02575,30.0,142.4
0.02600,30.3,141.1
0.02625,30.6,139.2
0.02650,30.9,136.8
0.02675,31.2,133.7
0.02700,31.5,130.1
0.02725,31.8,126.0
0.02750,32.1,121.2
0.02775,32.4,116.0
0.02800,32.7,110.2
0.02825,33.0,104.0
0.02850,33.3,97.2
0.02875,33.5,90.1
0.02900,33.8,82.5
0.02925,34.1,74.5
0.02950,34.4,66.1
0.02975,34.7,57.4
0.03000,35.0,48.4
0.03025,35.3,39.1
0.03050,35.6,29.6
0.03075,35.9,19.9
0.03100,36.2,10.0
0.03125,36.5,-0.0
0.03150,36.8,-10.1
0.03175,37.0,-20.2
0.03200,37.3,-30.3
0.03225,37.6,-40.4
0.03250,37.9,-50.3
0.03275,38.2,-60.2
0.03300,38.5,-69.9
0.03325,38.8,-79.4
0.03350,39.1,-88.6
0.03375,39.4,-97.6
0.03400,39.7,-106.2
0.03425,40.0,-114.5
0.03450,40.3,-122.4
0.03475,40.5,-129.8
0.03500,40.8,-136.8
0.03525,41.1,-143.3
0.03550,41.4,-149.2
0.03575,41.7,-154.6
0.03600,42.0,-159.4
0.03625,42.3,-163.6
0.03650,42.6,-167.2
0.03675,42.9,-170.2
0.03700,43.2,-172.5
0.03725,43.5,-174.1
0.03750,43.8,-175.0
0.03775,44.0,-175.2
0.03800,44.3,-174.8
0.03825,44.6,-173.6
0.03850,44.9,-171.7
0.03875,45.2,-169.2
0.03900,45.5,-165.9
0.03925,45.8,-162.0
0.03950,46.1,-157.4
0.03975,46.4,-152.1
0.04000,46.7,-146.2
0.04025,47.0,-139.7
0.04050,47.3,-132.6
0.04075,47.5,-124.9
0.04100,47.8,-116.6
0.04125,48.1,-107.9
0.04150,48.4,-98.6
0.04175,48.7,-89.0
0.04200,49.0,-78.9
0.04225,49.3,-68.4
0.04250,49.6,-57.6
0.04275,49.9,-46.5
0.04300,50.2,-35.1
0.04325,50.5,-23.6
0.04350,50.8,-11.8
0.04375,51.0,0.0
0.04400,51.3,11.9
0.04425,51.6,23.8
0.04450,51.9,35.7
0.04475,52.2,47.5
0.04500,52.5,59.2
0.04525,52.8,70.8
0.04550,53.1,82.1
0.04575,53.4,93.1
0.04600,53.7,103.9
0.04625,54.0,114.2
0.04650,54.3,124.2
0.04675,54.5,133.8
0.04700,54.8,142.8
0.04725,55.1,151.4
0.04750,55.4,159.3
0.04775,55.7,166.7
0.04800,56.0,173.5
0.04825,56.3,179.6
0.04850,56.6,185.0
0.04875,56.9,189.8
0.04900,57.2,193.8
0.04925,57.5,197.0
0.04950,57.8,199.5
0.04975,58.0,201.2
0.05000,58.3,202.1
0.05025,58.6,202.2
0.05050,58.9,201.5
0.05075,59.2,200.0
0.05100,59.5,197.7
0.05125,59.8,194.6
0.05150,60.1,190.7
0.05175,60.4,186.0
0.05200,60.7,180.6
0.05225,61.0,174.4
0.05250,61.3,167.5
0.05275,61.5,159.9
0.05300,61.8,151.7
0.05325,62.1,142.8
0.05350,62.4,133.2
0.05375,62.7,123.1
0.05400,63.0,112.5
0.05425,63.3,101.4
0.05450,63.6,89.8
0.05475,63.9,77.8
0.05500,64.2,65.5
0.05525,64.5,52.8
0.05550,64.8,39.9
0.05575,65.0,26.7
0.05600,65.3,13.4
0.05625,65.6,-0.0
0.05650,65.9,-13.5
0.05675,66.2,-27.0
0.05700,66.5,-40.4
0.05725,66.8,-53.8
0.05750,67.1,-67.0
0.05775,67.4,-79.9
0.05800,67.7,-92.7
0.05825,68.0,-105.1
0.05850,68.3,-117.1
0.05875,68.5,-128.7
0.05900,68.8,-139.9
0.05925,69.1,-150.6
0.05950,69.4,-160.7
0.05975,69.7,-170.2
0.06000,70.0,-179.1
0.06025,70.3,-187.3
0.06050,70.6,-194.8
0.06075,70.9,-201.5
0.06100,71.2,-207.5
0.06125,71.5,-212.7
0.06150,71.8,-217.1
0.06175,72.0,-220.6
0.06200,72.3,-223.2
0.06225,72.6,-225.0
0.06250,72.9,-225.9
0.06275,73.2,-225.9
0.06300,73.5,-225.0
0.06325,73.8,-223.2
0.06350,74.1,-220.6
0.06375,74.4,-217.0
0.06400,74.7,-212.6
0.06425,75.0,-207.3
0.06450,75.3,-201.1
0.06475,75.5,-194.2
0.06500,75.8,-186.4
0.06525,76.1,-177.9
0.06550,76.4,-168.6
0.06575,76.7,-158.6
0.06600,77.0,-148.0
0.06625,77.3,-136.7
0.06650,77.6,-124.9
0.06675,77.9,-112.5
0.06700,78.2,-99.6
0.06725,78.5,-86.3
0.06750,78.8,-72.6
0.06775,79.0,-58.5
0.06800,79.3,-44.2
0.06825,79.6,-29.6
0.06850,79.9,-14.9
0.06875,80.2,0.0
0.06900,80.5,14.9
0.06925,80.8,29.8
0.06950,81.1,44.6
0.06975,81.4,59.4
0.07000,81.7,73.9
0.07025,82.0,88.2
0.07050,82.3,102.2
0.07075,82.5,115.8
0.07100,82.8,129.0
0.07125,83.1,141.8
0.07150,83.4,154.0
0.07175,83.7,165.7
0.07200,84.0,176.8
0.07225,84.3,187.2
0.07250,84.6,196.9
0.07275,84.9,205.8
0.07300,85.2,214.0
0.07325,85.5,221.3
0.07350,85.8,227.8
0.07375,86.0,233.4
0.07400,86.3,238.1
0.07425,86.6,241.9
0.07450,86.9,244.7
0.07475,87.2,246.6
0.07500,87.5,247.5
0.07525,87.8,247.4
0.07550,88.1,246.4
0.07575,88.4,244.3
0.07600,88.7,241.3
0.07625,89.0,237.3
0.07650,89.3,232.4
0.07675,89.5,226.5
0.07700,89.8,219.7
0.07725,90.1,212.1
0.07750,90.4,203.5
0.07775,90.7,194.2
0.07800,91.0,184.0
0.07825,91.3,173.0
0.07850,91.6,161.4
0.07875,91.9,149.1
0.07900,92.2,136.1
0.07925,92.5,122.6
0.07950,92.8,108.5
0.07975,93.0,93.9
0.08000,93.3,79.0
0.08025,93.6,63.7
0.08050,93.9,48.0
0.08075,94.2,32.2
0.08100,94.5,16.1
0.08125,94.8,-0.0
0.08150,95.1,-16.2
0.08175,95.4,-32.4
0.08200,95.7,-48.5
0.08225,96.0,-64.5
0.08250,96.3,-80.2
0.08275,96.5,-95.7
0.08300,96.8,-110.9
0.08325,97.1,-125.6
0.08350,97.4,-139.9
0.08375,97.7,-153.7
0.08400,98.0,-167.0
0.08425,98.3,-179.6
0.08450,98.6,-191.5
0.08475,98.9,-202.7
0.08500,99.2,-213.2
0.08525,99.5,-222.8
0.08550,99.8,-231.6
0.08575,100.0,-239.4
0.08600,100.3,-246.4
0.08625,100.6,-252.4
0.08650,100.9,-257.4
0.08675,101.2,-261.5
0.08700,101.5,-264.5
0.08725,101.8,-266.4
0.08750,102.1,-267.3
0.08775,102.4,-267.2
0.08800,102.7,-266.0
0.08825,103.0,-263.7
0.08850,103.3,-260.4
0.08875,103.5,-256.0
0.08900,103.8,-250.7
0.08925,104.1,-244.3
0.08950,104.4,-236.9
0.08975,104.7,-228.6
0.09000,105.0,-219.3
0.09025,105.3,-209.2
0.09050,105.6,-198.2
0.09075,105.9,-186.4
0.09100,106.2,-173.8
0.09125,106.5,-160.5
0.09150,106.8,-146.5
0.09175,107.0,-131.9
0.09200,107.3,-116.7
0.09225,107.6,-101.0
0.09250,107.9,-84.9
0.09275,108.2,-68.4
0.09300,108.5,-51.6
0.09325,108.8,-34.6
0.09350,109.1,-17.4
0.09375,109.4,0.0
0.09400,109.7,17.4
0.09425,110.0,34.8
0.09450,110.3,52.1
0.09475,110.5,69.2
0.09500,110.8,86.1
0.09525,111.1,102.7
0.09550,111.4,118.9
0.09575,111.7,134.7
0.09600,112.0,150.0
0.09625,112.3,164.8
0.09650,112.6,178.9
0.09675,112.9,192.4
0.09700,113.2,205.2
0.09725,113.5,217.1
0.09750,113.8,228.3
0.09775,114.0,238.6
0.09800,114.3,247.9
0.09825,114.6,256.3
0.09850,114.9,263.7
0.09875,115.2,270.1
0.09900,115.5,275.4
0.09925,115.8,279.7
0.09950,116.1,282.8
0.09975,116.4,284.9
0.10000,116.7,285.8
0.10025,117.0,285.6
0.10050,117.3,284.2
0.10075,117.5,281.8
0.10100,117.8,278.2
0.10125,118.1,273.5
0.10150,118.4,267.7
0.10175,118.7,260.8
0.10200,119.0,252.9
0.10225,119.3,244.0
0.10250,119.6,234.1
0.10275,119.9,223.2
0.10300,120.2,211.4
0.10325,120.5,198.8
0.10350,120.8,185.3
0.10375,121.0,171.1
0.10400,121.3,156.2
0.10425,121.6,140.6
0.10450,121.9,124.4
0.10475,122.2,107.7
0.10500,122.5,90.5
0.10525,122.8,72.9
0.10550,123.1,55.0
0.10575,123.4,36.8
0.10600,123.7,18.5
0.10625,124.0,-0.0
0.10650,124.3,-18.5
0.10675,124.5,-37.0
0.10700,124.8,-55.4
0.10725,125.1,-73.6
0.10750,125.4,-91.6
0.10775,125.7,-109.2
0.10800,126.0,-126.4
0.10825,126.3,-143.2
0.10850,126.6,-159.5
0.10875,126.9,-175.2
0.10900,127.2,-190.2
0.10925,127.5,-204.5
0.10950,127.8,-218.0
0.10975,128.0,-230.7
0.11000,128.3,-242.5
0.11025,128.6,-253.4
0.11050,128.9,-263.2
0.11075,129.2,-272.1
0.11100,129.5,-279.9
0.11125,129.8,-286.7
0.11150,130.1,-292.3
