t,y1,y2
0.00000,0.0,0.0
0.00025,0.3,-0.3
0.00050,0.6,-0.6
0.00075,0.9,-0.9
0.00100,1.2,-1.2
0.00125,1.5,-1.5
0.00150,1.8,-1.8
0.00175,2.0,-2.0
0.00200,2.3,-2.3
0.00225,2.6,-2.6
0.00250,2.9,-2.9
0.00275,3.2,-3.2
0.00300,3.5,-3.5
0.00325,3.8,-3.8
0.00350,4.1,-4.1
0.00375,4.4,-4.4
0.00400,4.7,-4.7
0.00425,5.0,-5.0
0.00450,5.3,-5.3
0.00475,5.5,-5.5
0.00500,5.8,-5.8
0.00525,6.1,-6.1
0.00550,6.4,-6.4
0.00575,6.7,-6.7
0.00600,7.0,-7.0
0.00625,7.3,-7.3
0.00650,7.6,-7.6
0.00675,7.9,-7.9
0.00700,8.2,-8.2
0.00725,8.5,-8.5
0.00750,8.8,-8.8
0.00775,9.0,-9.0
0.00800,9.3,-9.3
0.00825,9.6,-9.6
0.00850,9.9,-9.9
0.00875,10.2,-10.2
0.00900,10.5,-10.5
0.00925,10.8,-10.8
0.00950,11.1,-11.1
0.00975,11.4,-11.4
0.01000,11.7,-11.7
0.01025,12.0,-12.0
0.01050,12.3,-12.3
0.01075,12.5,-12.5
0.01100,12.8,-12.8
0.01125,13.1,-13.1
0.01150,13.4,-13.4
0.01175,13.7,-13.7
0.01200,14.0,-14.0
0.01225,14.3,-14.3
0.01250,14.6,-14.6
0.01275,14.9,-14.9
0.01300,15.2,-15.2
0.01325,15.5,-15.5
0.01350,15.8,-15.8
0.01375,16.0,-16.0
0.01400,16.3,-16.3
0.01425,16.6,-16.6
0.01450,16.9,-16.9
0.01475,17.2,-17.2
0.01500,17.5,-17.5
0.01525,17.8,-17.8
0.01550,18.1,-18.1
0.01575,18.4,-18.4
0.01600,18.7,-18.7
0.01625,19.0,-19.0
0.01650,19.3,-19.3
0.01675,19.5,-19.5
0.01700,19.8,-19.8
0.01725,20.1,-20.1
0.01750,20.4,-20.4
0.01775,20.7,-20.7
0.01800,21.0,-21.0
0.01825,21.3,-21.3
0.01850,21.6,-21.6
0.01875,21.9,-21.9
0.01900,22.2,-22.2
0.01925,22.5,-22.5
0.01950,22.8,-22.8
0.01975,23.0,-23.0
0.02000,23.3,-23.3
0.02025,23.6,-23.6
0.02050,23.9,-23.9
0.02075,24.2,-24.2
0.02100,24.5,-24.5
0.02125,24.8,-24.8
0.02150,25.1,-25.1
0.02175,25.4,-25.4
0.02200,25.7,-25.7
0.02225,26.0,-26.0
0.02250,26.3,-26.3
0.02275,26.5,-26.5
0.02300,26.8,-26.8
0.02325,27.1,-27.1
0.02350,27.4,-27.4
0.02375,27.7,-27.7
0.02400,28.0,-28.0
0.02425,28.3,-28.3
0.02450,28.6,-28.6
0.02475,28.9,-28.9
0.02500,29.2,-29.2
0.02525,29.5,-29.5
0.02550,29.8,-29.8
0.02575,30.0,-30.0
0.02600,30.3,-30.3
0.02625,30.6,-30.6
0.02650,30.9,-30.9
0.02675,31.2,-31.2
0.02700,31.5,-31.5
0.02725,31.8,-31.8
0.02750,32.1,-32.1
0.02775,32.4,-32.4
0.02800,32.7,-32.7
0.02825,33.0,-33.0
0.02850,33.3,-33.3
0.02875,33.5,-33.5
0.02900,33.8,-33.8
0.02925,34.1,-34.1
0.02950,34.4,-34.4
0.02975,34.7,-34.7
0.03000,35.0,-35.0
0.03025,35.3,-35.3
0.03050,35.6,-35.6
0.03075,35.9,-35.9
0.03100,36.2,-36.2
0.03125,36.5,-36.5
0.03150,36.8,-36.8
0.03175,37.0,-37.0
0.03200,37.3,-37.3
0.03225,37.6,-37.6
0.03250,37.9,-37.9
0.03275,38.2,-38.2
0.03300,38.5,-38.5
0.03325,38.8,-38.8
0.03350,39.1,-39.1
0.03375,39.4,-39.4
0.03400,39.7,-39.7
0.03425,40.0,-40.0
0.03450,40.3,-40.3
0.03475,40.5,-40.5
0.03500,40.8,-40.8
0.03525,41.1,-41.1
0.03550,41.4,-41.4
0.03575,41.7,-41.7
0.03600,42.0,-42.0
0.03625,42.3,-42.3
0.03650,42.6,-42.6
0.03675,42.9,-42.9
0.03700,43.2,-43.2
0.03725,43.5,-43.5
0.03750,43.8,-43.8
0.03775,44.0,-44.0
0.03800,44.3,-44.3
0.03825,44.6,-44.6
0.03850,44.9,-44.9
0.03875,45.2,-45.2
0.03900,45.5,-45.5
0.03925,45.8,-45.8
0.03950,46.1,-46.1
0.03975,46.4,-46.4
0.04000,46.7,-46.7
0.04025,47.0,-47.0
0.04050,47.3,-47.3
0.04075,47.5,-47.5
0.04100,47.8,-47.8
0.04125,48.1,-48.1
0.04150,48.4,-48.4
0.04175,48.7,-48.7
0.04200,49.0,-49.0
0.04225,49.3,-49.3
0.04250,49.6,-49.6
0.04275,49.9,-49.9
0.04300,50.2,-50.2
0.04325,50.5,-50.5
0.04350,50.8,-50.8
0.04375,51.0,-51.0
0.04400,51.3,-51.3
0.04425,51.6,-51.6
0.04450,51.9,-51.9
0.04475,52.2,-52.2
0.04500,52.5,-52.5
0.04525,52.8,-52.8
0.04550,53.1,-53.1
0.04575,53.4,-53.4
0.04600,53.7,-53.7
0.04625,54.0,-54.0
0.04650,54.3,-54.3
0.04675,54.5,-54.5
0.04700,54.8,-54.8
0.04725,55.1,-55.1
0.04750,55.4,-55.4
0.04775,55.7,-55.7
0.04800,56.0,-56.0
0.04825,56.3,-56.3
0.04850,56.6,-56.6
0.04875,56.9,-56.9
0.04900,57.2,-57.2
0.04925,57.5,-57.5
0.04950,57.8,-57.8
0.04975,58.0,-58.0
0.05000,58.3,-58.3
0.05025,58.6,-58.6
0.05050,58.9,-58.9
0.05075,59.2,-59.2
0.05100,59.5,-59.5
0.05125,59.8,-59.8
0.05150,60.1,-60.1
0.05175,60.4,-60.4
0.05200,60.7,-60.7
0.05225,61.0,-61.0
0.05250,61.3,-61.3
0.05275,61.5,-61.5
0.05300,61.8,-61.8
0.05325,62.1,-62.1
0.05350,62.4,-62.4
0.05375,62.7,-62.7
0.05400,63.0,-63.0
0.05425,63.3,-63.3
0.05450,63.6,-63.6
0.05475,63.9,-63.9
0.05500,64.2,-64.2
0.05525,64.5,-64.5
0.05550,64.8,-64.8
0.05575,65.0,-65.0
0.05600,65.3,-65.3
0.05625,65.6,-65.6
0.05650,65.9,-65.9
0.05675,66.2,-66.2
0.05700,66.5,-66.5
0.05725,66.8,-66.8
0.05750,67.1,-67.1
0.05775,67.4,-67.4
0.05800,67.7,-67.7
0.05825,68.0,-68.0
0.05850,68.3,-68.3
0.05875,68.5,-68.5
0.05900,68.8,-68.8
0.05925,69.1,-69.1
0.05950,69.4,-69.4
0.05975,69.7,-69.7
0.06000,70.0,-70.0
0.06025,70.3,-70.3
0.06050,70.6,-70.6
0.06075,70.9,-70.9
0.06100,71.2,-71.2
0.06125,71.5,-71.5
0.06150,71.8,-71.8
0.06175,72.0,-72.0
0.06200,72.3,-72.3
0.06225,72.6,-72.6
0.06250,72.9,-72.9
0.06275,73.2,-73.2
0.06300,73.5,-73.5
0.06325,73.8,-73.8
0.06350,74.1,-74.1
0.06375,74.4,-74.4
0.06400,74.7,-74.7
0.06425,75.0,-75.0
0.06450,75.3,-75.3
0.06475,75.5,-75.5
0.06500,75.8,-75.8
0.06525,76.1,-76.1
0.06550,76.4,-76.4
0.06575,76.7,-76.7
0.06600,77.0,-77.0
0.06625,77.3,-77.3
0.06650,77.6,-77.6
0.06675,77.9,-77.9
0.06700,78.2,-78.2
0.06725,78.5,-78.5
0.06750,78.8,-78.8
0.06775,79.0,-79.0
0.06800,79.3,-79.3
0.06825,79.6,-79.6
0.06850,79.9,-79.9
0.06875,80.2,-80.2
0.06900,80.5,-80.5
0.06925,80.8,-80.8
0.06950,81.1,-81.1
0.06975,81.4,-81.4
0.07000,81.7,-81.7
0.07025,82.0,-82.0
0.07050,82.3,-82.3
0.07075,82.5,-82.5
0.07100,82.8,-82.8
0.07125,83.1,-83.1
0.07150,83.4,-83.4
0.07175,83.7,-83.7
0.07200,84.0,-84.0
0.07225,84.3,-84.3
0.07250,84.6,-84.6
0.07275,84.9,-84.9
0.07300,85.2,-85.2
0.07325,85.5,-85.5
0.07350,85.8,-85.8
0.07375,86.0,-86.0
0.07400,86.3,-86.3
0.07425,86.6,-86.6
0.07450,86.9,-86.9
0.07475,87.2,-87.2
0.07500,87.5,-87.5
0.07525,87.8,-87.8
0.07550,88.1,-88.1
0.07575,88.4,-88.4
