t,y1,y2
0.00000,0.0,0.0
0.00025,309.0,309.0
0.00050,587.8,587.8
0.00075,809.0,809.0
0.00100,951.1,951.1
0.00125,1000.0,1000.0
0.00150,951.1,951.1
0.00175,809.0,809.0
0.00200,587.8,587.8
0.00225,309.0,309.0
0.00250,-0.0,-0.0
0.00275,-309.0,-309.0
0.00300,-587.8,-587.8
0.00325,-809.0,-809.0
0.00350,-951.1,-951.1
0.00375,-1000.0,-1000.0
0.00400,-951.1,-951.1
0.00425,-809.0,-809.0
0.00450,-587.8,-587.8
0.00475,-309.0,-309.0
0.00500,0.0,0.0
0.00525,309.0,309.0
0.00550,587.8,587.8
0.00575,809.0,809.0
0.00600,951.1,951.1
0.00625,1000.0,1000.0
0.00650,951.1,951.1
0.00675,809.0,809.0
0.00700,587.8,587.8
0.00725,309.0,309.0
0.00750,-0.0,-0.0
0.00775,-309.0,-309.0
0.00800,-587.8,-587.8
0.00825,-809.0,-809.0
0.00850,-951.1,-951.1
0.00875,-1000.0,-1000.0
0.00900,-951.1,-951.1
0.00925,-809.0,-809.0
0.00950,-587.8,-587.8
0.00975,-309.0,-309.0
0.01000,0.0,0.0
0.01025,309.0,309.0
0.01050,587.8,587.8
0.01075,809.0,809.0
0.01100,951.1,951.1
0.01125,1000.0,1000.0
0.01150,951.1,951.1
0.01175,809.0,809.0
0.01200,587.8,587.8
0.01225,309.0,309.0
0.01250,-0.0,-0.0
0.01275,-309.0,-309.0
0.01300,-587.8,-587.8
0.01325,-809.0,-809.0
0.01350,-951.1,-951.1
0.01375,-1000.0,-1000.0
0.01400,-951.1,-951.1
0.01425,-809.0,-809.0
0.01450,-587.8,-587.8
0.01475,-309.0,-309.0
0.01500,0.0,0.0
0.01525,309.0,309.0
0.01550,587.8,587.8
0.01575,809.0,809.0
0.01600,951.1,951.1
0.01625,1000.0,1000.0
0.01650,951.1,951.1
0.01675,809.0,809.0
0.01700,587.8,587.8
0.01725,309.0,309.0
0.01750,-0.0,-0.0
0.01775,-309.0,-309.0
0.01800,-587.8,-587.8
0.01825,-809.0,-809.0
0.01850,-951.1,-951.1
0.01875,-1000.0,-1000.0
0.01900,-951.1,-951.1
0.01925,-809.0,-809.0
0.01950,-587.8,-587.8
0.01975,-309.0,-309.0
0.02000,0.0,0.0
0.02025,309.0,309.0
0.02050,587.8,587.8
0.02075,809.0,809.0
0.02100,951.1,951.1
0.02125,1000.0,1000.0
0.02150,951.1,951.1
0.02175,809.0,809.0
0.02200,587.8,587.8
0.02225,309.0,309.0
0.02250,-0.0,-0.0
0.02275,-309.0,-309.0
0.02300,-587.8,-587.8
0.02325,-809.0,-809.0
0.02350,-951.1,-951.1
0.02375,-1000.0,-1000.0
0.02400,-951.1,-951.1
0.02425,-809.0,-809.0
0.02450,-587.8,-587.8
0.02475,-309.0,-309.0
0.02500,0.0,0.0
0.02525,309.0,309.0
0.02550,587.8,587.8
0.02575,809.0,809.0
0.02600,951.1,951.1
0.02625,1000.0,1000.0
0.02650,951.1,951.1
0.02675,809.0,809.0
0.02700,587.8,587.8
0.02725,309.0,309.0
0.02750,-0.0,-0.0
0.02775,-309.0,-309.0
0.02800,-587.8,-587.8
0.02825,-809.0,-809.0
0.02850,-951.1,-951.1
0.02875,-1000.0,-1000.0
0.02900,-951.1,-951.1
0.02925,-809.0,-809.0
0.02950,-587.8,-587.8
0.02975,-309.0,-309.0
0.03000,0.0,0.0
0.03025,309.0,309.0
0.03050,587.8,587.8
0.03075,809.0,809.0
0.03100,951.1,951.1
0.03125,1000.0,1000.0
0.03150,951.1,951.1
0.03175,809.0,809.0
0.03200,587.8,587.8
0.03225,309.0,309.0
0.03250,-0.0,-0.0
0.03275,-309.0,-309.0
0.03300,-587.8,-587.8
0.03325,-809.0,-809.0
0.03350,-951.1,-951.1
0.03375,-1000.0,-1000.0
0.03400,-951.1,-951.1
0.03425,-809.0,-809.0
0.03450,-587.8,-587.8
0.03475,-309.0,-309.0
0.03500,0.0,0.0
0.03525,309.0,309.0
0.03550,587.8,587.8
0.03575,809.0,809.0
0.03600,951.1,951.1
0.03625,1000.0,1000.0
0.03650,951.1,951.1
0.03675,809.0,809.0
0.03700,587.8,587.8
0.03725,309.0,309.0
0.03750,-0.0,-0.0
0.03775,-309.0,-309.0
0.03800,-587.8,-587.8
0.03825,-809.0,-809.0
0.03850,-951.1,-951.1
0.03875,-1000.0,-1000.0
0.03900,-951.1,-951.1
0.03925,-809.0,-809.0
0.03950,-587.8,-587.8
0.03975,-309.0,-309.0
0.04000,0.0,0.0
0.04025,309.0,309.0
0.04050,587.8,587.8
0.04075,809.0,809.0
0.04100,951.1,951.1
0.04125,1000.0,1000.0
0.04150,951.1,951.1
0.04175,809.0,809.0
0.04200,587.8,587.8
0.04225,309.0,309.0
0.04250,-0.0,-0.0
0.04275,-309.0,-309.0
0.04300,-587.8,-587.8
0.04325,-809.0,-809.0
0.04350,-951.1,-951.1
0.04375,-1000.0,-1000.0
0.04400,-951.1,-951.1
0.04425,-809.0,-809.0
0.04450,-587.8,-587.8
0.04475,-309.0,-309.0
0.04500,0.0,0.0
0.04525,309.0,309.0
0.04550,587.8,587.8
0.04575,809.0,809.0
0.04600,951.1,951.1
0.04625,1000.0,1000.0
0.04650,951.1,951.1
0.04675,809.0,809.0
0.04700,587.8,587.8
0.04725,309.0,309.0
0.04750,-0.0,-0.0
0.04775,-309.0,-309.0
0.04800,-587.8,-587.8
0.04825,-809.0,-809.0
0.04850,-951.1,-951.1
0.04875,-1000.0,-1000.0
0.04900,-951.1,-951.1
0.04925,-809.0,-809.0
0.04950,-587.8,-587.8
0.04975,-309.0,-309.0
0.05000,0.0,0.0
0.05025,309.0,309.0
0.05050,587.8,587.8
0.05075,809.0,809.0
0.05100,951.1,951.1
0.05125,1000.0,1000.0
0.05150,951.1,951.1
0.05175,809.0,809.0
0.05200,587.8,587.8
0.05225,309.0,309.0
0.05250,-0.0,-0.0
0.05275,-309.0,-309.0
0.05300,-587.8,-587.8
0.05325,-809.0,-809.0
0.05350,-951.1,-951.1
0.05375,-1000.0,-1000.0
0.05400,-951.1,-951.1
0.05425,-809.0,-809.0
0.05450,-587.8,-587.8
0.05475,-309.0,-309.0
0.05500,0.0,0.0
0.05525,309.0,309.0
0.05550,587.8,587.8
0.05575,809.0,809.0
0.05600,951.1,951.1
0.05625,1000.0,1000.0
0.05650,951.1,951.1
0.05675,809.0,809.0
0.05700,587.8,587.8
0.05725,309.0,309.0
0.05750,-0.0,-0.0
0.05775,-309.0,-309.0
0.05800,-587.8,-587.8
0.05825,-809.0,-809.0
0.05850,-951.1,-951.1
0.05875,-1000.0,-1000.0
0.05900,-951.1,-951.1
0.05925,-809.0,-809.0
0.05950,-587.8,-587.8
0.05975,-309.0,-309.0
0.06000,0.0,0.0
0.06025,309.0,309.0
0.06050,587.8,587.8
0.06075,809.0,809.0
0.06100,951.1,951.1
0.06125,1000.0,1000.0
0.06150,951.1,951.1
0.06175,809.0,809.0
0.06200,587.8,587.8
0.06225,309.0,309.0
0.06250,-0.0,-0.0
0.06275,-309.0,-309.0
0.06300,-587.8,-587.8
0.06325,-809.0,-809.0
0.06350,-951.1,-951.1
0.06375,-1000.0,-1000.0
0.06400,-951.1,-951.1
0.06425,-809.0,-809.0
0.06450,-587.8,-587.8
0.06475,-309.0,-309.0
0.06500,0.0,0.0
0.06525,309.0,309.0
0.06550,587.8,587.8
0.06575,809.0,809.0
0.06600,951.1,951.1
0.06625,1000.0,1000.0
0.06650,951.1,951.1
0.06675,809.0,809.0
0.06700,587.8,587.8
0.06725,309.0,309.0
0.06750,-0.0,-0.0
0.06775,-309.0,-309.0
0.06800,-587.8,-587.8
0.06825,-809.0,-809.0
0.06850,-951.1,-951.1
0.06875,-1000.0,-1000.0
0.06900,-951.1,-951.1
0.06925,-809.0,-809.0
0.06950,-587.8,-587.8
0.06975,-309.0,-309.0
0.07000,0.0,0.0
0.07025,309.0,309.0
0.07050,587.8,587.8
0.07075,809.0,809.0
0.07100,951.1,951.1
0.07125,1000.0,1000.0
0.07150,951.1,951.1
0.07175,809.0,809.0
0.07200,587.8,587.8
0.07225,309.0,309.0
0.07250,-0.0,-0.0
0.07275,-309.0,-309.0
0.07300,-587.8,-587.8
0.07325,-809.0,-809.0
0.07350,-951.1,-951.1
0.07375,-1000.0,-1000.0
0.07400,-951.1,-951.1
0.07425,-809.0,-809.0
0.07450,-587.8,-587.8
0.07475,-309.0,-309.0
0.07500,0.0,0.0
0.07525,309.0,309.0
0.07550,587.8,587.8
0.07575,809.0,809.0
0.07600,951.1,951.1
0.07625,1000.0,1000.0
0.07650,951.1,951.1
0.07675,809.0,809.0
0.07700,587.8,587.8
0.07725,309.0,309.0
0.07750,-0.0,-0.0
0.07775,-309.0,-309.0
0.07800,-587.8,-587.8
0.07825,-809.0,-809.0
0.07850,-951.1,-951.1
0.07875,-1000.0,-1000.0
0.07900,-951.1,-951.1
0.07925,-809.0,-809.0
0.07950,-587.8,-587.8
0.07975,-309.0,-309.0
0.08000,0.0,0.0
0.08025,309.0,309.0
0.08050,587.8,587.8
0.08075,809.0,809.0
0.08100,951.1,951.1
0.08125,1000.0,1000.0
0.08150,951.1,951.1
0.08175,809.0,809.0
0.08200,587.8,587.8
0.08225,309.0,309.0
0.08250,-0.0,-0.0
0.08275,-309.0,-309.0
0.08300,-587.8,-587.8
0.08325,-809.0,-809.0
0.08350,-951.1,-951.1
0.08375,-1000.0,-1000.0
0.08400,-951.1,-951.1
0.08425,-809.0,-809.0
0.08450,-587.8,-587.8
0.08475,-309.0,-309.0
0.08500,0.0,0.0
0.08525,309.0,309.0
0.08550,587.8,587.8
0.08575,809.0,809.0
0.08600,951.1,951.1
0.08625,1000.0,1000.0
0.08650,951.1,951.1
0.08675,809.0,809.0
0.08700,587.8,587.8
0.08725,309.0,309.0
0.08750,-0.0,-0.0
0.08775,-309.0,-309.0
0.08800,-587.8,-587.8
0.08825,-809.0,-809.0
0.08850,-951.1,-951.1
0.08875,-1000.0,-1000.0
0.08900,-951.1,-951.1
0.08925,-809.0,-809.0
0.08950,-587.8,-587.8
0.08975,-309.0,-309.0
0.09000,0.0,0.0
0.09025,309.0,309.0
0.09050,587.8,587.8
0.09075,809.0,809.0
0.09100,951.1,951.1
0.09125,1000.0,1000.0
0.09150,951.1,951.1
0.09175,809.0,809.0
0.09200,587.8,587.8
0.09225,309.0,309.0
0.09250,-0.0,-0.0
0.09275,-309.0,-309.0
0.09300,-587.8,-587.8
0.09325,-809.0,-809.0
0.09350,-951.1,-951.1
0.09375,-1000.0,-1000.0
0.09400,-951.1,-951.1
0.09425,-809.0,-809.0
0.09450,-587.8,-587.8
0.09475,-309.0,-309.0
0.09500,0.0,0.0
0.09525,309.0,309.0
0.09550,587.8,587.8
0.09575,809.0,809.0
0.09600,951.1,951.1
0.09625,1000.0,1000.0
0.09650,951.1,951.1
0.09675,809.0,809.0
0.09700,587.8,587.8
0.09725,309.0,309.0
0.09750,-0.0,-0.0
0.09775,-309.0,-309.0
0.09800,-587.8,-587.8
0.09825,-809.0,-809.0
0.09850,-951.1,-951.1
0.09875,-1000.0,-1000.0
0.09900,-951.1,-951.1
0.09925,-809.0,-809.0
0.09950,-587.8,-587.8
0.09975,-309.0,-309.0
0.10000,0.0,0.0
