t,y1e,y2e,y1o,y2o
0.00000,0.0,0.0,0.0,0.0
0.00010,0.1,2.4,0.1,2.4
0.00020,0.2,3.4,0.2,3.4
0.00030,0.4,4.1,0.4,4.1
0.00040,0.6,4.8,0.6,4.8
0.00050,0.8,5.3,0.8,5.3
0.00060,1.1,5.8,1.1,5.8
0.00070,1.4,6.3,1.4,6.3
0.00080,1.7,6.7,1.7,6.7
0.00090,2.0,7.1,2.0,7.1
0.00100,2.4,7.5,2.4,7.5
0.00110,2.7,7.9,2.7,7.9
0.00120,3.1,8.2,3.1,8.2
0.00130,3.5,8.5,3.5,8.5
0.00140,3.9,8.8,3.9,8.8
0.00150,4.3,9.1,4.3,9.1
0.00160,4.8,9.4,4.8,9.4
0.00170,5.2,9.6,5.2,9.6
0.00180,5.7,9.9,5.7,9.9
0.00190,6.2,10.1,6.2,10.1
0.00200,6.6,10.4,6.6,10.4
0.00210,7.1,10.6,7.1,10.6
0.00220,7.7,10.8,7.7,10.8
0.00230,8.2,11.0,8.2,11.0
0.00240,8.7,11.2,8.7,11.2
0.00250,9.2,11.4,9.2,11.4
0.00260,9.8,11.5,9.8,11.5
0.00270,10.3,11.7,10.3,11.7
0.00280,10.9,11.9,10.9,11.9
0.00290,11.5,12.0,11.5,12.0
0.00300,12.0,12.2,12.0,12.2
0.00310,12.6,12.3,12.6,12.3
0.00320,13.2,12.4,13.2,12.4
0.00330,13.8,12.6,13.8,12.6
0.00340,14.4,12.7,14.4,12.7
0.00350,15.1,12.8,15.1,12.8
0.00360,15.7,12.9,15.7,12.9
0.00370,16.3,13.0,16.3,13.0
0.00380,16.9,13.1,16.9,13.1
0.00390,17.6,13.2,17.6,13.2
0.00400,18.2,13.2,18.2,13.2
0.00410,18.9,13.3,18.9,13.3
0.00420,19.5,13.4,19.5,13.4
0.00430,20.2,13.4,20.2,13.4
0.00440,20.8,13.5,20.8,13.5
0.00450,21.5,13.5,21.5,13.5
0.00460,22.1,13.6,22.1,13.6
0.00470,22.8,13.6,22.8,13.6
0.00480,23.5,13.6,23.5,13.6
0.00490,24.2,13.7,24.2,13.7
0.00500,24.8,13.7,24.8,13.7
0.00510,25.5,13.7,25.5,13.7
0.00520,26.2,13.7,26.2,13.7
0.00530,26.9,13.7,26.9,13.7
0.00540,27.6,13.7,27.6,13.7
0.00550,28.3,13.7,28.3,13.7
0.00560,28.9,13.6,28.9,13.6
0.00570,29.6,13.6,29.6,13.6
0.00580,30.3,13.6,30.3,13.6
0.00590,31.0,13.5,31.0,13.5
0.00600,31.7,13.5,31.7,13.5
0.00610,32.4,13.4,32.4,13.4
0.00620,33.1,13.4,33.1,13.4
0.00630,33.8,13.3,33.8,13.3
0.00640,34.4,13.3,34.4,13.3
0.00650,35.1,13.2,35.1,13.2
0.00660,35.8,13.1,35.8,13.1
0.00670,36.5,13.0,36.5,13.0
0.00680,37.2,12.9,37.2,12.9
0.00690,37.8,12.8,37.8,12.8
0.00700,38.5,12.7,38.5,12.7
0.00710,39.2,12.6,39.2,12.6
0.00720,39.9,12.5,39.9,12.5
0.00730,40.5,12.4,40.5,12.4
0.00740,41.2,12.3,41.2,12.3
0.00750,41.9,12.2,41.9,12.2
0.00760,42.5,12.0,42.5,12.0
0.00770,43.2,11.9,43.2,11.9
0.00780,43.8,11.8,43.8,11.8
0.00790,44.5,11.6,44.5,11.6
0.00800,45.1,11.5,45.1,11.5
0.00810,45.8,11.3,45.8,11.3
0.00820,46.4,11.1,46.4,11.1
0.00830,47.0,11.0,47.0,11.0
0.00840,47.7,10.8,47.7,10.8
0.00850,48.3,10.6,48.3,10.6
0.00860,48.9,10.4,48.9,10.4
