t,y1e,y2e,y1o,y2o
0.00000,0.0,0.0,0.0,0.0
0.00010,0.2,5.3,0.2,5.3
0.00020,0.5,7.6,0.5,7.6
0.00030,0.9,9.3,0.9,9.3
0.00040,1.3,10.7,1.3,10.7
0.00050,1.9,11.9,1.9,11.9
0.00060,2.5,13.1,2.5,13.1
0.00070,3.1,14.1,3.1,14.1
0.00080,3.8,15.0,3.8,15.0
0.00090,4.5,15.9,4.5,15.9
0.00100,5.3,16.8,5.3,16.8
0.00110,6.1,17.6,6.1,17.6
0.00120,7.0,18.3,7.0,18.3
0.00130,7.8,19.0,7.8,19.0
0.00140,8.8,19.7,8.8,19.7
0.00150,9.7,20.3,9.7,20.3
0.00160,10.7,21.0,10.7,21.0
0.00170,11.7,21.5,11.7,21.5
0.00180,12.7,22.1,12.7,22.1
0.00190,13.8,22.6,13.8,22.6
0.00200,14.9,23.2,14.9,23.2
0.00210,16.0,23.6,16.0,23.6
0.00220,17.1,24.1,17.1,24.1
0.00230,18.3,24.6,18.3,24.6
0.00240,19.4,25.0,19.4,25.0
0.00250,20.6,25.4,20.6,25.4
0.00260,21.9,25.8,21.9,25.8
0.00270,23.1,26.2,23.1,26.2
0.00280,24.4,26.6,24.4,26.6
0.00290,25.6,26.9,25.6,26.9
0.00300,26.9,27.2,26.9,27.2
0.00310,28.3,27.5,28.3,27.5
0.00320,29.6,27.8,29.6,27.8
0.00330,30.9,28.1,30.9,28.1
0.00340,32.3,28.4,32.3,28.4
0.00350,33.7,28.6,33.7,28.6
0.00360,35.0,28.8,35.0,28.8
0.00370,36.4,29.1,36.4,29.1
0.00380,37.9,29.3,37.9,29.3
0.00390,39.3,29.5,39.3,29.5
0.00400,40.7,29.6,40.7,29.6
0.00410,42.2,29.8,42.2,29.8
0.00420,43.6,29.9,43.6,29.9
0.00430,45.1,30.1,45.1,30.1
0.00440,46.6,30.2,46.6,30.2
0.00450,48.0,30.3,48.0,30.3
0.00460,49.5,30.4,49.5,30.4
0.00470,51.0,30.4,51.0,30.4
0.00480,52.5,30.5,52.5,30.5
0.00490,54.0,30.5,54.0,30.5
0.00500,55.5,30.6,55.5,30.6
0.00510,57.1,30.6,57.1,30.6
0.00520,58.6,30.6,58.6,30.6
0.00530,60.1,30.6,60.1,30.6
0.00540,61.6,30.6,61.6,30.6
0.00550,63.2,30.5,63.2,30.5
0.00560,64.7,30.5,64.7,30.5
0.00570,66.2,30.4,66.2,30.4
