t,y1e,y2e,y1o,y2o
0.00000,0.0,0.0,0.0,0.0
0.00010,0.2,5.3,13.4,0.1
0.00020,0.5,7.6,18.9,0.2
0.00030,0.9,9.3,23.1,0.3
0.00040,1.3,10.7,26.7,0.5
0.00050,1.9,11.9,29.8,0.8
0.00060,2.5,13.1,32.6,1.0
0.00070,3.1,14.1,35.2,1.2
0.00080,3.8,15.0,37.6,1.5
0.00090,4.5,15.9,39.8,1.8
0.00100,5.3,16.8,41.9,2.1
0.00110,6.1,17.6,43.9,2.4
0.00120,7.0,18.3,45.8,2.8
0.00130,7.8,19.0,47.5,3.1
0.00140,8.8,19.7,49.2,3.5
0.00150,9.7,20.3,50.8,3.9
0.00160,10.7,21.0,52.4,4.3
0.00170,11.7,21.5,53.8,4.7
0.00180,12.7,22.1,55.3,5.1
0.00190,13.8,22.6,56.6,5.5
0.00200,14.9,23.2,57.9,5.9
0.00210,16.0,23.6,59.1,6.4
0.00220,17.1,24.1,60.3,6.8
0.00230,18.3,24.6,61.4,7.3
0.00240,19.4,25.0,62.5,7.8
0.00250,20.6,25.4,63.5,8.3
0.00260,21.9,25.8,64.5,8.7
0.00270,23.1,26.2,65.5,9.2
0.00280,24.4,26.6,66.4,9.7
0.00290,25.6,26.9,67.2,10.3
0.00300,26.9,27.2,68.1,10.8
0.00310,28.3,27.5,68.8,11.3
0.00320,29.6,27.8,69.6,11.8
0.00330,30.9,28.1,70.3,12.4
0.00340,32.3,28.4,70.9,12.9
0.00350,33.7,28.6,71.5,13.5
0.00360,35.0,28.8,72.1,14.0
0.00370,36.4,29.1,72.7,14.6
0.00380,37.9,29.3,73.2,15.1
0.00390,39.3,29.5,73.6,15.7
0.00400,40.7,29.6,74.1,16.3
0.00410,42.2,29.8,74.5,16.9
0.00420,43.6,29.9,74.8,17.4
0.00430,45.1,30.1,75.1,18.0
0.00440,46.6,30.2,75.4,18.6
0.00450,48.0,30.3,75.7,19.2
0.00460,49.5,30.4,75.9,19.8
0.00470,51.0,30.4,76.1,20.4
0.00480,52.5,30.5,76.2,21.0
0.00490,54.0,30.5,76.4,21.6
0.00500,55.5,30.6,76.4,22.2
0.00510,57.1,30.6,76.5,22.8
0.00520,58.6,30.6,76.5,23.4
0.00530,60.1,30.6,76.5,24.0
0.00540,61.6,30.6,76.4,24.7
0.00550,63.2,30.5,76.4,25.3
0.00560,64.7,30.5,76.2,25.9
0.00570,66.2,30.4,76.1,26.5
0.00580,67.8,30.4,75.9,27.1
0.00590,69.3,30.3,75.7,27.7
